id,name,members,value,highalch,lowalch,limit,examine
13012,Adamant set (lg),False,8000,4800,3200,8,"A set containing a full helm, platebody, legs and kiteshield."
13014,Adamant set (sk),False,8000,4800,3200,8,"A set containing a full helm, platebody, skirt and kiteshield."
7334,Adamant shield (h1),False,5440,3264,2176,70,A shield with a heraldic design
7340,Adamant shield (h2),False,5440,3264,2176,70,A shield with a heraldic design
7346,Adamant shield (h3),False,5440,3264,2176,70,A shield with a heraldic design
7352,Adamant shield (h4),False,5440,3264,2176,70,A shield with a heraldic design
7358,Adamant shield (h5),False,5440,3264,2176,70,A shield with a heraldic design
1245,Adamant spear,True,2080,1248,832,125,An adamantite tipped spear.
1259,Adamant spear(p),True,2080,1248,832,125,A poisoned adamantite tipped spear.
5712,Adamant spear(p+),True,2080,1248,832,125,A poisoned adamantite tipped spear.
5726,Adamant spear(p++),True,2080,1248,832,125,A poisoned adamantite tipped spear.
1183,Adamant sq shield,False,3840,2304,1536,125,A medium square shield.
1287,Adamant sword,False,2080,1248,832,125,A razor sharp sword.
804,Adamant thrownaxe,True,176,105,70,11000,A finely balanced throwing axe.
13016,Adamant trimmed set (lg),False,8000,4800,3200,8,"A set containing a full helm, platebody, legs and kiteshield."
13018,Adamant trimmed set (sk),False,8000,4800,3200,8,"A set containing a full helm, platebody, skirt and kiteshield."
1345,Adamant warhammer,False,4120,2472,1648,125,I don't think it's intended for joinery.
2361,Adamantite bar,False,640,384,256,10000,It's a bar of adamantite.
9429,Adamantite limbs,True,1600,960,640,10000,A pair of adamantite crossbow limbs.
4823,Adamantite nails,True,45,27,18,13000,Keeps things in place fairly permanently.
449,Adamantite ore,False,400,240,160,4500,This needs refining.
7198,Admiral pie,True,310,186,124,10000,Much tastier than a normal fish pie.
30771,Aether catalyst,True,200,120,80,25000,A piece of the cosmos' soul? Or souls belonging to the cosmos?
30843,Aether rune,True,300,180,120,25000,A combined cosmic and soul rune.
12430,Afro,True,684,410,273,4,Wild!
11463,Agility mix(1),True,50,30,20,2000,One dose of fishy Agility potion.
11461,Agility mix(2),True,100,60,40,2000,Two doses of fishy Agility potion.
3038,Agility potion(1),True,50,30,20,2000,1 dose of Agility potion.
3036,Agility potion(2),True,100,60,40,2000,2 doses of Agility potion.
3034,Agility potion(3),True,150,90,60,2000,3 doses of Agility potion.
3032,Agility potion(4),True,200,120,80,2000,4 doses of Agility potion.
12881,Ahrim's armour set,True,200000,120000,80000,8,"A set containing an Ahrim's hood, robetop, robeskirt and staff."
4708,Ahrim's hood,True,13000,7800,5200,15,Ahrim the Blighted's leather hood.
4860,Ahrim's hood 0,True,13000,7800,5200,15,Ahrim the Blighted's leather hood.
4714,Ahrim's robeskirt,True,47000,28200,18800,15,Ahrim the Blighted's armoured robe skirt.
4878,Ahrim's robeskirt 0,True,47000,28200,18800,15,Ahrim the Blighted's armoured robe skirt.
4712,Ahrim's robetop,True,50000,30000,20000,15,Ahrim the Blighted's armoured robe top.
4872,Ahrim's robetop 0,True,50000,30000,20000,15,Ahrim the Blighted's armoured robe top.
4710,Ahrim's staff,True,85000,51000,34000,15,Ahrim the Blighted's quarterstaff.
4866,Ahrim's staff 0,True,85000,51000,34000,15,Ahrim the Blighted's quarterstaff.
1397,Air battlestaff,True,15500,9300,6200,18000,It's a slightly magical stick.
573,Air orb,True,300,180,120,11000,A magic glowing orb.
556,Air rune,False,4,2,1,50000,One of the 4 basic elemental Runes.
1438,Air talisman,False,4,2,1,11000,A mysterious power emanates from the talisman...
5527,Air tiara,False,100,60,40,40,A tiara infused with the properties of air.
4436,Airtight pot,True,10,6,4,15,This is pretty well sealed.
29993,Aldarium,True,100,60,40,13000,A special alchemical ingredient used for creating potions.
20056,Ale of the gods,True,850,510,340,4,Ale of the gods.
5767,Ale yeast,True,1,1,1,11000,A pot filled with ale yeast.
21347,Amethyst,True,3900,2340,1560,13000,Maybe I can make something with this.
21326,Amethyst arrow,True,490,294,196,11000,Arrows with amethyst heads.
21332,Amethyst arrow(p),True,490,294,196,11000,Venomous-looking arrows.
21334,Amethyst arrow(p+),True,490,294,196,11000,Venomous-looking arrows.
21336,Amethyst arrow(p++),True,490,294,196,11000,Venomous-looking arrows.
21350,Amethyst arrowtips,True,245,147,98,10000,I can make some arrows with these.
21338,Amethyst bolt tips,True,160,96,64,11000,Amethyst bolt tips.
21316,Amethyst broad bolts,True,240,144,96,11000,Crossbow bolts with amethyst broad tips.
25849,Amethyst dart,True,400,240,160,11000,A deadly throwing dart with an amethyst tip.
25853,Amethyst dart tip,True,200,120,80,11000,A deadly-looking dart tip made of amethyst - needs feathers for flight.
25851,Amethyst dart(p),True,400,240,160,11000,A deadly poisoned dart with an amethyst tip.
25855,Amethyst dart(p+),True,400,240,160,11000,A deadly poisoned dart with an amethyst tip.
25857,Amethyst dart(p++),True,400,240,160,11000,A deadly poisoned dart with an amethyst tip.
21318,Amethyst javelin,True,420,252,168,11000,An amethyst tipped javelin.
21352,Amethyst javelin tips,True,1520,912,608,10000,Needs a shaft.
21320,Amethyst javelin(p),True,420,252,168,7000,An amethyst tipped javelin.
21322,Amethyst javelin(p+),True,420,252,168,7000,An amethyst tipped javelin.
21324,Amethyst javelin(p++),True,420,252,168,7000,An amethyst tipped javelin.
1595,Amulet mould,False,5,3,2,40,Used to make amulets.
1478,Amulet of accuracy,False,100,60,40,5,It increases my aim.
22557,Amulet of avarice,True,45000,27000,18000,8,A hauntingly beautiful amulet bearing the shape of a skull.
21160,Amulet of bounty,True,900,540,360,10000,Saves seeds when planting in allotments.
21163,Amulet of chemistry,True,1050,630,420,15000,Useful when making potions - has the chance of giving an extra dose.
1729,Amulet of defence,False,1275,765,510,125,An enchanted emerald amulet of protection.
23309,Amulet of defence (t),False,1275,765,510,4,An enchanted emerald amulet of protection that looks good.
19707,Amulet of eternal glory,True,17625,10575,7050,5,A dragonstone amulet with an unlimited supply of magic charges.
6585,Amulet of fury,True,202000,121200,80800,8,A very powerful onyx amulet.
1704,Amulet of glory,True,17625,10575,7050,10000,A very powerful dragonstone amulet.
10362,Amulet of glory (t),True,17625,10575,7050,5,A very powerful dragonstone amulet.
10354,Amulet of glory (t4),True,17625,10575,7050,5,A very powerful dragonstone amulet.
11964,Amulet of glory (t6),True,17625,10575,7050,5,A very powerful dragonstone amulet.
1712,Amulet of glory(4),True,17625,10575,7050,10000,A dragonstone amulet with 4 magic charges.
11978,Amulet of glory(6),True,17625,10575,7050,10000,A dragonstone amulet with 6 magic charges.
1727,Amulet of magic,False,900,540,360,125,An enchanted sapphire amulet of magic.
10366,Amulet of magic (t),False,900,540,360,5,An enchanted sapphire amulet of magic.
1731,Amulet of power,False,3525,2115,1410,125,An enchanted diamond amulet of power.
23354,Amulet of power (t),False,4025,2415,1610,5,An enchanted diamond amulet that looks good.
29801,Amulet of rancour,True,400000,240000,160000,8,"A very powerful zenyte amulet, infused with araxyte venom."
1725,Amulet of strength,False,2025,1215,810,125,An enchanted ruby amulet.
12851,Amulet of the damned (full),True,58001,34800,23200,8,Heirloom of an ancient family of Morytania.
19553,Amulet of torture,True,202000,121200,80800,8,A deep sense of torture burns within this powerful amulet.
12640,Amylase crystal,True,20,12,8,11000,Good for enhancing a super energy potion.
21018,Ancestral hat,True,45000,27000,18000,8,The hat of a powerful sorceress from a bygone era.
21024,Ancestral robe bottom,True,80000,48000,32000,8,The robe bottoms of a powerful sorceress from a bygone era.
21021,Ancestral robe top,True,120000,72000,48000,8,The robe top of a powerful sorceress from a bygone era.
21049,Ancestral robes set,True,145000,87000,58000,5,"A set containing an Ancestral hat, robe top and robe bottom."
319,Anchovies,False,15,9,6,15000,Some nicely cooked anchovies.
2297,Anchovy pizza,False,60,36,24,10000,A pizza with anchovies.
20235,Ancient blessing,True,80,48,32,5,"The misery that is now upon us is but the passing of greed, the bitterness of those who fear the way of progress."
12490,Ancient bracers,True,4000,2400,1600,8,Ancient blessed dragonhide vambraces.
26346,Ancient brew(1),True,125,75,50,2000,1 dose of ancient brew.
26344,Ancient brew(2),True,150,90,60,2000,2 doses of ancient brew.
26342,Ancient brew(3),True,175,105,70,2000,3 doses of ancient brew.
26340,Ancient brew(4),True,200,120,80,2000,4 doses of ancient brew.
26229,Ancient ceremonial boots,True,40000,24000,16000,8,Some ceremonial boots dedicated to an ancient god.
26227,Ancient ceremonial gloves,True,40000,24000,16000,8,Some ceremonial gloves dedicated to an ancient god.
26223,Ancient ceremonial legs,True,80000,48000,32000,8,Some ceremonial robes dedicated to an ancient god.
26225,Ancient ceremonial mask,True,50000,30000,20000,8,A ceremonial mask dedicated to an ancient god.
26221,Ancient ceremonial top,True,100000,60000,40000,8,Some ceremonial robes dedicated to an ancient god.
12494,Ancient chaps,True,6000,3600,2400,8,Ancient blessed dragonhide chaps.
12197,Ancient cloak,True,2000,1200,800,8,An Ancient cloak.
12496,Ancient coif,True,2000,1200,800,8,Ancient blessed dragonhide coif.
12199,Ancient crozier,True,5000,3000,2000,8,An Ancient crozier.
21804,Ancient crystal,True,250000,150000,100000,250,An ancient crystal containing magical energy.
12492,Ancient d'hide body,True,13000,7800,5200,8,Ancient blessed dragonhide body armour.
19921,Ancient d'hide boots,True,9300,5580,3720,8,Ancient blessed dragonhide boots.
23197,Ancient d'hide shield,True,28334,17000,11333,8,Ancient blessed wooden shield covered in dragon leather.
13171,Ancient dragonhide set,True,9500,5700,3800,8,"A set containing an ancient dragonhide coif, body, chaps and bracers."
22302,Ancient effigy,True,8000000,4800000,3200000,250,"A mysterious artifact of ancient times, very precious to emblem traders."
21807,Ancient emblem,True,500000,300000,200000,250,"A mysterious artifact of ancient times, of some value to emblem traders."
27616,Ancient essence,True,28,16,11,300000,Pure magical energy filled with a dark power.
12466,Ancient full helm,False,35200,21120,14080,8,Rune full helmet in the colours of a long-forgotten god.
26233,Ancient godsword,True,1250000,750000,500000,8,"A mysterious, heavy sword."
26370,Ancient hilt,True,500000,300000,200000,,Brimming with potential.
12468,Ancient kiteshield,False,54400,32640,21760,8,Rune kiteshield in the colours of a long-forgotten god.
11061,Ancient mace,True,1000,600,400,8,It has ancient goblin symbols on it.
22299,Ancient medallion,True,4000000,2400000,1600000,250,"A mysterious artifact of ancient times, precious to emblem traders."
12203,Ancient mitre,True,5000,3000,2000,8,An Ancient mitre.
26353,Ancient mix(1),True,125,75,50,,One dose of fishy ancient brew.
26350,Ancient mix(2),True,150,90,60,,Two doses of fishy ancient brew.
12621,Ancient page 1,True,400,240,160,5,This seems to have been torn from a book...
12622,Ancient page 2,True,400,240,160,5,This seems to have been torn from a book...
12623,Ancient page 3,True,400,240,160,5,This seems to have been torn from a book...
12624,Ancient page 4,True,400,240,160,5,This seems to have been torn from a book...
12460,Ancient platebody,False,65000,39000,26000,8,Rune platebody in the colours of a long-forgotten god.
12462,Ancient platelegs,False,64000,38400,25600,8,Rune platelegs in the colours of a long-forgotten god.
12464,Ancient plateskirt,False,64000,38400,25600,8,Rune plateskirt in the colours of a long-forgotten god.
22305,Ancient relic,True,16000000,9600000,6400000,250,"A mysterious artifact of ancient times, emblem traders will pay you extremely handsomely for this."
12195,Ancient robe legs,True,7000,4200,2800,8,Leggings from the Ancient Vestments.
12193,Ancient robe top,True,7000,4200,2800,8,Ancient Vestments.
13060,Ancient rune armour set (lg),False,80000,48000,32000,8,"A set containing a full helm, platebody, legs and kiteshield."
13062,Ancient rune armour set (sk),False,80000,48000,32000,8,"A set containing a full helm, platebody, skirt and kiteshield."
4675,Ancient staff,True,100000,60000,40000,70,A magical staff of ancient origin...
21813,Ancient statuette,True,2000000,1200000,800000,250,"A mysterious artifact of ancient times, of substantial value to emblem traders."
12201,Ancient stole,True,2500,1500,1000,8,An Ancient stole.
21810,Ancient totem,True,1000000,600000,400000,250,"A mysterious artifact of ancient times, of reasonable value to emblem traders."
21634,Ancient wyvern shield,True,2000000,1200000,800000,8,A magical shield with a wyvern visage.
32096,Angler's paint,True,1,1,1,,A salmon pink paint. This might look good on a boat.
13441,Anglerfish,True,450,270,180,10000,I hope this tastes better than it looks.
22246,Anguish ornament kit,True,5000,3000,2000,4,Use on a necklace of anguish to make it look fancier!
20101,Ankou gloves,True,1,1,1,4,These gloves will make your flesh transparent.
20095,Ankou mask,True,1,1,1,4,This mask will make your flesh transparent.
20107,Ankou socks,True,1,1,1,4,These socks will make your flesh transparent.
20098,Ankou top,True,1,1,1,4,This top will make your flesh transparent.
20104,Ankou's leggings,True,1,1,1,4,These leggings will make your flesh transparent.
12775,Annakarl teleport (tablet),True,1,1,1,10000,"A teleport to Annakarl, in level 46 Wilderness."
33015,Annihilation blueprints,True,,,,,Take this to an estate agent and ask them to redecorate your player-owned house for a Wilderness theme.
33018,Annihilation teleport scroll,True,,,,,A scroll which unlocks the Deadman: Annihilation home teleport animation.
33012,Annihilation weapon scroll,True,,,,,"Take this to Nigel to give the Toxic Staff of the Dead, Bow of Faerdhinen (c) or Crystal armour a cosmetic theme from Deadman: Annihilation."
1540,Anti-dragon shield,False,20,12,8,125,This provides partial protection from dragonbreath attacks.
31712,Anti-odour salt,True,11,6,4,,A special salt used by experienced hunters to remove their sent from traps.
11475,Anti-poison supermix(1),True,144,86,57,2000,One dose of fishy super antipoison potion.
11473,Anti-poison supermix(2),True,216,129,86,2000,Two doses of fishy super antipoison potion.
12911,Anti-venom(1),True,110,66,44,2000,1 dose of antivenom potion.
12909,Anti-venom(2),True,220,132,88,2000,2 doses of antivenom potion.
12907,Anti-venom(3),True,330,198,132,2000,3 doses of antivenom potion.
12905,Anti-venom(4),True,440,264,176,2000,4 doses of antivenom potion.
12919,Anti-venom+(1),True,111,66,44,2000,1 dose of super antivenom potion.
12917,Anti-venom+(2),True,222,133,88,2000,2 doses of super antivenom potion.
12915,Anti-venom+(3),True,333,199,133,2000,3 doses of super antivenom potion.
12913,Anti-venom+(4),True,444,266,177,2000,4 doses of super antivenom potion.
11503,Antidote+ mix(1),True,144,86,57,2000,One dose of fishy extra strength antidote potion.
11501,Antidote+ mix(2),True,216,129,86,2000,Two doses of fishy extra strength antidote potion.
5949,Antidote+(1),True,144,86,57,4000,1 dose of extra strong antipoison potion.
5947,Antidote+(2),True,216,129,86,4000,2 doses of extra strong antipoison potion.
5945,Antidote+(3),True,288,172,115,4000,3 doses of extra strong antipoison potion.
5943,Antidote+(4),True,360,216,144,4000,4 doses of extra strong antipoison potion.
5958,Antidote++(1),True,144,86,57,4000,1 dose of super strong antipoison potion.
5956,Antidote++(2),True,216,129,86,4000,2 doses of super strong antipoison potion.
5954,Antidote++(3),True,288,172,115,4000,3 doses of super strong antipoison potion.
5952,Antidote++(4),True,360,216,144,4000,4 doses of super strong antipoison potion.
11507,Antifire mix(1),True,132,79,52,2000,One dose of fishy anti-firebreath potion.
11505,Antifire mix(2),True,198,118,79,2000,Two doses of fishy anti-firebreath potion.
2458,Antifire potion(1),True,132,79,52,2000,1 dose of anti-firebreath potion.
2456,Antifire potion(2),True,198,118,79,2000,2 doses of anti-firebreath potion.
2454,Antifire potion(3),True,264,158,105,2000,3 doses of anti-firebreath potion.
2452,Antifire potion(4),True,330,198,132,2000,4 doses of anti-firebreath potion.
11435,Antipoison mix(1),True,144,86,57,2000,One dose of fishy antipoison potion.
11433,Antipoison mix(2),True,216,129,86,2000,Two doses of fishy antipoison potion.
179,Antipoison(1),False,144,86,57,2000,1 dose of antipoison potion.
177,Antipoison(2),False,216,129,86,2000,2 doses of antipoison potion.
175,Antipoison(3),False,288,172,115,2000,3 doses of antipoison potion.
2446,Antipoison(4),False,360,216,144,2000,4 doses of antipoison potion.
31081,Antler guard,True,100000,60000,40000,,Surprisingly flexible.
19631,Ape atoll teleport (tablet),True,1,1,1,10000,A teleport to Ape Atoll.
5992,Apple mush,True,13,7,5,11000,A bucket of apple mush.
2323,Apple pie,False,30,18,12,10000,Mmm Apple pie.
5496,Apple sapling,True,1,1,1,200,This sapling is ready to be replanted in a fruit tree patch.
5283,Apple tree seed,True,13,7,5,200,Plant in a plantpot of soil to grow a sapling.
5386,Apples(5),True,1,1,1,600,A fruit basket filled with apples.
6910,Apprentice wand,True,1500,900,600,125,An apprentice level wand.
32879,Aquanite hopper,True,8000,4800,3200,,An autoloading contraption made of aquanite bits. Slimy.
32876,Aquanite tendon,True,5000,3000,2000,,A tendon. How nice.
29806,Aranea boots,True,150000,90000,60000,8,Boots that are surrounded with spider folicles. Great web resistance!
29784,Araxyte venom sack,True,500,300,200,11000,Looks spicy!
21079,Arcane prayer scroll,True,80000,48000,32000,5,Scrawled words that can invoke the power of the gods.
12827,Arcane sigil,True,750000,450000,300000,5,A sigil in the shape of an arcane symbol.
12825,Arcane spirit shield,True,2000000,1200000,800000,8,An ethereal shield with an arcane sigil attached to it.
20251,Arceuus banner,True,70,42,28,4,An ancient banner baring the mark of the Arceuus Elders.
20113,Arceuus hood,True,1,1,1,4,A rare hood from Arceuus.
19613,Arceuus library teleport (tablet),True,1,1,1,10000,A teleport to the Arceuus Library
19943,Arceuus scarf,True,10000,6000,4000,4,A blue scarf adorned with a dark crystal.
3749,Archer helm,True,60000,36000,24000,70,This helmet is worn by archers.
28298,Archer icon,True,8000,4800,3200,,The icon of an archer.
6733,Archers ring,True,10000,6000,4000,8,A fabled ring that improves the wearer's skill with a bow...
1464,Archery ticket,True,25,15,10,18000,I can exchange this for equipment.
10810,Arctic pine logs,True,35,21,14,11000,Log cut from an arctic pine.
10808,Arctic pyre logs,True,200,120,80,11000,Arctic pine logs prepared with sacred oil for a funeral pyre.
8011,Ardougne teleport (tablet),True,1,1,1,10000,A teleport to East Ardougne.
6891,Arena book,True,1,1,1,15,A book about the Training Arena.
12506,Armadyl bracers,True,4000,2400,1600,8,Armadyl blessed dragonhide vambraces.
31659,Armadyl brew(1),True,40,24,16,2000,1 dose of Armadyl brewn.
31656,Armadyl brew(2),True,90,54,36,2000,2 doses of Armadyl brew.
31653,Armadyl brew(3),True,170,102,68,2000,3 doses of Armadyl brew.
31650,Armadyl brew(4),True,250,150,100,2000,4 doses of Armadyl brew.
